class,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22
2,23167.6,8.00,12.00,32.00,185.91,217.59,46.5,0.644988,1872.93,4212.9,6203.89,139.297,172.191,3.00,58.5247,0.888971,421.00,0.333333,2.27125,68.0864,61.3401,1.03456
2,57111.2,7.00,16.00,39.00,184.00,264.9,61.5,0.687519,2452.06,6422.58,14982.8,254.875,286.501,4.00,62.8685,0.848768,528.00,0.583333,1.98417,78.1009,44.4877,1.04272
2,20569.7,1.00,7.00,15.00,136.92,372.16,39.00,0.886918,917.369,2718.24,5402.41,369.829,428.353,4.00,61.1527,0.904786,180.00,0.6,0.795,79.8191,59.4082,1.03307
2,13500.6,1.00,7.00,15.00,157.17,375.16,39.00,0.796253,899.737,2079.74,3520.74,319.734,356.73,4.00,59.9773,0.935769,135.00,0.6,1.245,69.8461,57.656,1.01993
2,15718.7,5.00,8.00,21.00,81.67,269.89,49.5,0.666885,1143.56,2450.77,4102.63,170.673,195.263,2.00,54.4495,0.921876,208.00,0.25,2.1625,94.6793,65.2455,1.01993
2,17065.5,3.00,9.00,21.00,121.94,248.27,36.00,0.78345,1094.3,2580.23,4471.61,140.779,177.675,4.00,52.1057,0.89616,171.00,0.592593,1.805,84.1196,77.0421,1.02357
2,14691.00,7.00,7.00,21.00,105.85,275.06,39.00,0.833781,1165.54,2978.5,3993.2,177.507,201.042,4.00,55.4957,0.915307,192.00,0.714286,1.195,57.4601,52.9785,1.03088
2,25651.5,8.00,9.00,26.00,102.97,267.97,46.5,1.01796,1109.84,3953.28,7121.69,213.084,258.284,3.00,42.6812,0.90667,191.00,0.481481,0.708333,75.4803,57.1976,1.0289
2,37276.6,9.00,9.00,27.00,165.96,209.42,57.00,0.689823,1786.97,4234.8,9724.13,187.585,245.949,3.00,66.1793,0.877485,282.00,0.259259,1.01125,59.0415,53.0531,1.03331
2,19679.4,6.00,8.00,22.00,115.46,304.79,54.00,0.747444,1260.25,2926.99,5170.64,248.69,262.711,2.00,57.2795,0.909127,198.00,0.25,1.4375,79.7291,64.4759,1.02086
