class,name,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21
5,Culture-462-8.CNG.swc_5-CNG,10920,1,2,5,88.04,73.36,15.66,0.665187,198.755,761.261,2730.71,89.7581,110.946,1,0.953552,76,0.5,0,94.2288,63.148,1.01628
5,Culture-462-9.CNG.swc_1-CNG,17325.6,1,7,15,110.51,135.56,10.21,0.421954,756.592,1143.14,4334.25,159.952,170.811,4,0.955317,150,0.6,0,47.5215,38.9305,1.01261
5,Culture-462-9.CNG.swc_2-CNG,17325.6,1,6,13,147.75,147.88,4.07,0.545613,557.111,1099.27,4333.48,170.915,178.538,4,0.97088,111,0.555556,0,47.7694,39.1179,1.0077
5,Culture-462-9.CNG.swc_3-CNG,17325.6,1,5,11,111.47,77.24,8.03,0.793192,305.75,1043.99,4332.51,139.028,149.8,3,0.860674,73,0.466667,0,63.0731,30.5459,1.0715
5,Culture-463-2.CNG.swc_1-CNG,5875.02,1,19,39,242.1,291.79,5.43,0.158556,1293.25,758.549,1473.69,320.209,378.875,8,0.895555,415,0.700231,0,66.2087,67.1204,1.03349
5,Culture-463-2.CNG.swc_2-CNG,5875.02,1,3,7,144.86,15.05,4.95,0.587617,241.994,527.367,1469.64,145.7,174.007,2,0.898912,71,0.666667,0,40.2184,5.0571,1.06511
5,Culture-463-2.CNG.swc_3-CNG,5875.02,1,6,13,94.73,54.03,2.48,0.44122,386.002,559.036,1470.19,105.35,125.206,5,0.843099,99,0.833333,0,54.3787,35.3234,1.04524
5,Culture-463-2.CNG.swc_4-CNG,5875.02,1,5,11,72.76,139.49,3.93,0.497335,326.594,545.971,1469.96,149.159,190.682,3,0.903478,86,0.4,0,80.6229,82.7891,1.03377
5,Culture-464-1.CNG.swc_1-CNG,10059.8,1,2,5,186.02,83.2,41.43,0.884967,302.248,745.737,2516.06,198.271,220.807,1,0.971786,54,0.5,0,37.6055,65.7786,1.00996
5,Culture-464-1.CNG.swc_2-CNG,10059.8,1,1,3,27.49,22.4697,4.12,4.47082,48.5403,689.944,2515.08,30.9788,33.8009,0,0.972169,10,1,0,0,0,1.02975
5,Culture-464-1.CNG.swc_3-CNG,10059.8,1,7,15,111.92,55.6,18.55,0.430723,443.659,776.835,2516.6,126.232,134.14,5,0.96977,122,0.619048,0,40.2594,30.7934,1.00858
5,Culture-464-1.CNG.swc_4-CNG,10059.8,1,7,15,119.22,239.65,80.79,0.300409,836.911,863.316,2518.11,282.515,296.675,5,0.950075,191,0.657143,0,50.3917,36.2483,1.0118
5,Culture-464-4.CNG.swc_1-CNG,11277.5,1,1,3,170.02,38.44,3.31,1.00316,204.315,778.097,2820.11,174.436,189.004,0,0.974309,49,1,0,0,0,1.01565
5,Culture-464-4.CNG.swc_2-CNG,11277.5,1,3,7,113.67,122.74,2.98,0.567009,321.134,803.787,2820.55,160.591,166.888,2,0.974164,92,0.666667,0,24.8238,17.1017,1.01008
5,Culture-464-4.CNG.swc_3-CNG,11277.5,1,4,9,131.21,190.18,3.02,0.378952,550.289,854.181,2821.44,216.569,237.515,3,0.941832,148,0.75,0,41.6446,48.6009,1.01324
5,Culture-464-4.CNG.swc_4-CNG,11277.5,1,3,7,131.51,172,3.69,0.372814,514.884,846.395,2821.3,185.686,221.251,2,0.952131,151,0.666667,0,62.4881,66.7545,1.01444
5,Culture-464-5.CNG.swc_1-CNG,13349.8,1,2,5,71.84,166.801,2.46,0.781498,317.636,890.493,3338.62,175.741,189.966,1,0.967143,68,0.5,0,80.3838,34.8287,1.01348
5,Culture-464-5.CNG.swc_2-CNG,13349.8,1,2,5,121.3,98.31,2.01,0.698336,259.825,877.779,3338.4,131.546,151.343,1,0.92265,77,0.5,0,98.9222,62.8875,1.02312
5,Culture-464-5.CNG.swc_3-CNG,13349.8,1,3,7,204.17,252,6.77,0.332945,584.137,949.099,3339.65,271.25,333.931,2,0.956673,184,0.666667,0,79.246,86.2061,1.01214
5,Culture-464-5.CNG.swc_4-CNG,13349.8,1,4,9,96.91,179.92,3.62,0.363223,589.505,950.28,3339.67,170.964,183.531,2,0.955937,165,0.25,0,63.134,64.0827,1.01273
5,Culture-464-8.CNG.swc_1-CNG,6870.49,1,1,3,81.62,48.04,1.24,1.45323,121.256,553.119,1718.04,98.5539,108.276,0,0.970071,28,1,0,0,0,1.01986
5,Culture-464-8.CNG.swc_2-CNG,6870.49,1,2,5,82.79,54.25,10.08,0.761615,197.658,569.921,1718.33,104.671,125.379,1,0.899641,56,0.5,0,35.0439,41.2908,1.02858
5,Culture-464-8.CNG.swc_3-CNG,6870.49,1,3,7,91.81,98.05,8.75,0.45347,376.053,609.152,1719.02,142.388,170.813,2,0.947495,101,0.666667,0,56.5214,14.1752,1.01342
5,Culture-464-8.CNG.swc_4-CNG,6870.49,1,2,5,43.51,51.3001,11.02,0.992153,138.635,556.941,1718.11,52.1814,98.9725,1,0.822363,42,0.5,0,68.0815,67.6893,1.09617
5,Culture-464-8.CNG.swc_5-CNG,6870.49,1,3,7,54.88,133.99,5.12,0.639565,230.566,577.158,1718.46,134.256,151.911,2,0.965999,68,0.666667,0,92.6563,75.9629,1.01482
5,Culture-464-8.CNG.swc_6-CNG,6870.49,1,6,13,210.09,164.38,11.26,0.263652,611.565,660.944,1719.93,161.273,202.559,3,0.906011,200,0.5,0,65.7351,63.2095,1.02772
5,Culture-465-1.CNG.swc_1-CNG,12152.4,1,7,15,65.95,210.72,6.99,0.306784,753.03,936.298,3040.94,227.168,241.911,4,0.976984,198,0.571429,0,56.6179,54.3309,1.0071
5,Culture-465-1.CNG.swc_2-CNG,12152.4,1,1,3,125.56,82.55,6.79,1.11185,183.007,810.944,3038.75,156.068,167.31,0,0.977603,45,1,0,0,0,1.01635
5,Culture-465-1.CNG.swc_3-CNG,12152.4,1,2,5,58.63,27.0189,3.28,1.44892,114.235,795.82,3038.49,62.3809,71.9904,1,0.981066,34,0.5,0,42.6178,21.529,1.00872
5,Culture-465-1.CNG.swc_4-CNG,12152.4,1,5,11,78.28,175.19,7.53,0.512295,413.435,861.617,3039.64,188.325,202.305,3,0.959082,106,0.466667,0,56.726,34.2438,1.01197
5,Culture-465-1.CNG.swc_5-CNG,12152.4,1,4,9,90.61,148.78,5.01,0.656041,279.003,832.054,3039.12,167.6,184.42,3,0.973779,80,0.75,0,71.7946,74.2123,1.01415
5,Culture-465-1.CNG.swc_6-CNG,12152.4,1,1,3,54.92,40.0189,7.47,1.68666,92.2384,790.982,3038.4,66.4544,76.5407,0,0.956075,29,1,0,0,0,1.02526
5,Culture-465-2.CNG.swc_1-CNG,6879.8,1,4,9,94.06,152.57,4.84,0.473625,331.782,599.893,1721.18,163.438,179.811,3,0.953349,96,0.75,0,69.8533,65.5674,1.01664
5,Culture-465-2.CNG.swc_2-CNG,6879.8,1,5,11,196.6,166.59,5.72,0.277209,597.128,658.246,1722.2,186.9,212.963,3,0.949467,187,0.466667,0,46.2704,44.9056,1.01889
5,Culture-465-2.CNG.swc_3-CNG,6879.8,1,4,9,58.86,114.407,6.51,0.536843,232.642,578.091,1720.8,121.195,160.594,3,0.931508,83,0.75,0,52.9715,89.1057,1.03214
